# z,P-Patm (0.0013 mL/min),P-Patm (0.013 mL/min)
0.000000,4.718958,47.189576
0.100000,4.691200,46.911995
0.200000,4.663441,46.634415
0.300000,4.635683,46.356834
0.400000,4.607925,46.079253
0.500000,4.580167,45.801673
0.600000,4.552409,45.524092
0.700000,4.524651,45.246511
0.800000,4.496893,44.968931
0.900000,4.469135,44.691350
1.000000,4.441377,44.413769
1.100000,4.413619,44.136189
1.200000,4.385861,43.858608
1.300000,4.358103,43.581027
1.400000,4.330345,43.303447
1.500000,4.302587,43.025866
1.600000,4.274829,42.748285
1.700000,4.247070,42.470705
1.800000,4.219312,42.193124
1.900000,4.191554,41.915543
2.000000,4.163796,41.637963
2.100000,4.136038,41.360382
2.200000,4.108280,41.082801
2.300000,4.080522,40.805221
2.400000,4.052764,40.527640
2.500000,4.025006,40.250059
2.600000,3.997248,39.972479
2.700000,3.969490,39.694898
2.800000,3.941732,39.417317
2.900000,3.913974,39.139737
3.000000,3.886216,38.862156
3.100000,3.858458,38.584575
3.200000,3.830699,38.306995
3.300000,3.802941,38.029414
3.400000,3.775183,37.751833
3.500000,3.747425,37.474253
3.600000,3.719667,37.196672
3.700000,3.691909,36.919091
3.800000,3.664151,36.641510
3.900000,3.636393,36.363930
4.000000,3.608635,36.086349
4.100000,3.580877,35.808768
4.200000,3.553119,35.531188
4.300000,3.525361,35.253607
4.400000,3.497603,34.976026
4.500000,3.469845,34.698446
4.600000,3.442087,34.420865
4.700000,3.414328,34.143284
4.800000,3.386570,33.865704
4.900000,3.358812,33.588123
5.000000,3.331054,33.310542
5.100000,3.303296,33.032962
5.200000,3.275538,32.755381
5.300000,3.247780,32.477800
5.400000,3.220022,32.200220
5.500000,3.192264,31.922639
5.600000,3.164506,31.645058
5.700000,3.136748,31.367478
5.800000,3.108990,31.089897
5.900000,3.081232,30.812316
6.000000,3.053474,30.534736
6.100000,3.025716,30.257155
6.200000,2.997957,29.979574
6.300000,2.970199,29.701994
6.400000,2.942441,29.424413
6.500000,2.914683,29.146832
6.600000,2.886925,28.869252
6.700000,2.859167,28.591671
6.800000,2.831409,28.314090
6.900000,2.803651,28.036510
7.000000,2.775893,27.758929
7.100000,2.748135,27.481348
7.200000,2.720377,27.203768
7.300000,2.692619,26.926187
7.400000,2.664861,26.648606
7.500000,2.637103,26.371026
7.600000,2.609345,26.093445
7.700000,2.581586,25.815864
7.800000,2.553828,25.538284
7.900000,2.526070,25.260703
8.000000,2.498312,24.983122
8.100000,2.470554,24.705542
8.200000,2.442796,24.427961
8.300000,2.415038,24.150380
8.400000,2.387280,23.872800
8.500000,2.359522,23.595219
8.600000,2.331764,23.317638
8.700000,2.304006,23.040058
8.800000,2.276248,22.762477
8.900000,2.248490,22.484896
9.000000,2.220732,22.207316
9.100000,2.192973,21.929735
9.200000,2.165215,21.652154
9.300000,2.137457,21.374574
9.400000,2.109699,21.096993
9.500000,2.081941,20.819412
9.600000,2.054183,20.541832
9.700000,2.026425,20.264251
9.800000,1.998667,19.986670
9.900000,1.970909,19.709090
10.000000,1.943151,19.431509
10.100000,1.915393,19.153928
10.200000,1.887635,18.876348
10.300000,1.859877,18.598767
10.400000,1.832119,18.321186
10.500000,1.804361,18.043606
10.600000,1.776602,17.766025
10.700000,1.748844,17.488444
10.800000,1.721086,17.210864
10.900000,1.693328,16.933283
11.000000,1.665570,16.655702
11.100000,1.637812,16.378122
11.200000,1.610054,16.100541
11.300000,1.582296,15.822960
11.400000,1.554538,15.545380
11.500000,1.526780,15.267799
11.600000,1.499022,14.990218
11.700000,1.471264,14.712638
11.800000,1.443506,14.435057
11.900000,1.415748,14.157476
12.000000,1.387990,13.879896
12.100000,1.360231,13.602315
12.200000,1.332473,13.324734
12.300000,1.304715,13.047154
12.400000,1.276957,12.769573
12.500000,1.249199,12.491992
12.600000,1.221441,12.214412
12.700000,1.193683,11.936831
12.800000,1.165925,11.659250
12.900000,1.138167,11.381670
13.000000,1.110409,11.104089
13.100000,1.082651,10.826508
13.200000,1.054893,10.548928
13.300000,1.027135,10.271347
13.400000,0.999377,9.993766
13.500000,0.971619,9.716186
13.600000,0.943860,9.438605
13.700000,0.916102,9.161024
13.800000,0.888344,8.883444
13.900000,0.860586,8.605863
14.000000,0.832828,8.328282
14.100000,0.805070,8.050702
14.200000,0.777312,7.773121
14.300000,0.749554,7.495540
14.400000,0.721796,7.217960
14.500000,0.694038,6.940379
14.600000,0.666280,6.662798
14.700000,0.638522,6.385217
14.800000,0.610764,6.107637
14.900000,0.583006,5.830056
15.000000,0.555248,5.552475
15.100000,0.527489,5.274895
15.200000,0.499731,4.997314
15.300000,0.471973,4.719733
15.400000,0.444215,4.442153
15.500000,0.416457,4.164572
15.600000,0.388699,3.886991
15.700000,0.360941,3.609411
15.800000,0.333183,3.331830
15.900000,0.305425,3.054249
16.000000,0.277667,2.776669
16.100000,0.249909,2.499088
16.200000,0.222151,2.221507
16.300000,0.194393,1.943927
16.400000,0.166635,1.666346
16.500000,0.138877,1.388765
16.600000,0.111118,1.111185
16.700000,0.083360,0.833604
16.800000,0.055602,0.556023
16.900000,0.027844,0.278443
17.000000,0.000086,0.000862
